ZONE NAME,GXT NAME,X1,Y1,Z1,X2,Y2,Z2
A_PORT,Escobar International,5611.79,-9279.61,0,6291.79,-7269.61,300
AIRPORT,Francis Intl. Airport,6617.03,6905.29,-45.9404,7781.37,7981.56,254.696
ALDEA,Aldea Malvada,-1372.14,2498.52,0,-1277.59,2615.35,200
ANDREAS,San Andreas,-3000,-3000,-500,3000,3000,2000
ANGPI,Angel Pine,-2324.94,-2584.29,-6.10352E-05,-1964.22,-2212.11,200
ARCO,Arco del Oeste,-901.129,2221.86,0,-592.09,2571.97,200
ARMYBAS,Fort Baxter Air Base,5701.95,-7815.2,0,5944.15,-7541.91,500
AT01,Atlantis,7302.93,-890.676,-500,8980.42,797.658,500
BACKO,Back o Beyond,-1166.97,-2641.19,0,-321.744,-1856.03,200
BARRA,Las Barrancas,-926.13,1398.73,-3.05176E-05,-719.234,1634.69,200
BATTP,Battery Point,-2741.07,1268.41,-4.57764E-05,-2533.04,1490.47,200
BAYV,Palisades,-2994.49,458.411,-6.10352E-05,-2741.07,1339.61,200
BEACO,Beacon Hill,-399.633,-1075.52,-1.48904,-319.033,-977.516,198.511
BFC1,Blackfield Chapel,1375.6,596.349,-89.084,1558.09,823.228,110.916
BFC2,Blackfield Chapel,1325.6,596.349,-89.084,1375.6,795.01,110.916
BFLD1,Blackfield,964.391,1203.22,-89.084,1197.39,1403.22,110.916
BFLD2,Blackfield,964.391,1403.22,-89.084,1197.39,1726.22,110.916
BIG_DAM,Cochrane Dam,6855.5,8343.44,-46.7412,7382.48,8954.54,253.344
BIGE,The Big Ear',-410.02,1403.34,-3.05176E-05,-137.969,1681.23,200
BIKE1,Saint Mark's,9290,7690.61,0,9387.09,7852.8,161
BIKE2,Saint Mark's,9290,7852.8,0,9360.21,7944.62,161
BIKE3,Saint Mark's,9290,7944.62,0,9360.21,8007.69,161
BIKE4,Trenton,9315.77,7611.18,0,9387.09,7690.61,161
BIKE5,Trenton,9310.77,7421.18,0,9387.09,7471.18,161
BIKE6,Trenton,9315.77,7471.18,0,9387.09,7538.62,161
BIKE7,Trenton,9315.77,7538.62,0,9387.09,7611.18,161
BINT1,Blackfield Intersection,1166.53,795.01,-89.0839,1375.6,1044.69,110.916
BINT2,Blackfield Intersection,1197.39,1044.69,-89.0839,1277.05,1163.39,110.916
BINT3,Blackfield Intersection,1277.05,1044.69,-89.0839,1315.35,1087.63,110.916
BINT4,Blackfield Intersection,1375.6,823.228,-89.084,1457.39,919.447,110.916
BLUAC,Blueberry Acres,-319.676,-220.137,0,104.534,293.324,200
BLUEB,Blueberry,19.6074,-404.136,3.8147E-06,349.607,-220.137,200
BLUEB1,Blueberry,104.534,-220.137,2.38419E-07,349.607,152.236,200
BLUF1A,Verdant Bluffs,930.221,-2488.42,-89.0839,1249.62,-2006.78,110.916
BLUF1B,Verdant Bluffs,1073.22,-2006.78,-89.0839,1249.62,-1842.27,110.916
BLUF2,Verdant Bluffs,1249.62,-2179.25,-89.0839,1692.62,-1842.27,110.916
BONE,Bone County,-480.539,596.349,-242.99,869.461,2993.87,900
BRUJA,Las Brujas,-365.167,2123.01,-3.05176E-05,-208.57,2217.68,200
BWACA,Bullworth Academy,8078.79,13948.3,-89,8557.2,14373.9,500
BWASY,Happy Volts Asylum,8078.79,13778.8,-89,8206.92,13948.3,500
BWCOV,New Coventry,8589.46,13556.3,-89,8911.03,14034.4,500
BWGRS1,Bullworth Academy,8346.21,14187.9,-89,8420.89,14287.5,500
BWGRS2,New Coventry,8730.16,13965.4,-89,8857.77,14034.4,500
BWGRS3,New Coventry,8638.83,13928,-89,8730.16,14034.4,500
BWGRS4,New Coventry,8730.16,13871.3,-89,8826.67,13965.4,500
BWGRS5,New Coventry,8618.51,13807.3,-89,8730.16,13928,500
BWGRS6,New Coventry,8730.16,13742.8,-89,8853.89,13871.3,500
BWIND,Blue Skies Industrial Park,8078.79,13556.3,-89,8589.46,13948.3,500
BWJCK1,Bullworth Academy,8197.77,14218.2,-89,8245.66,14245.2,500
BWJCK2,Bullworth Academy,8192.25,14130,-89,8245.66,14218.2,500
BWJCK3,Bullworth Academy,8245.66,14130,-89,8322.41,14204.6,500
BWMAIN,Bullworth,8059.07,13586,-500,9024.89,14888.2,500
BWNRD1,Bullworth Academy,8408.77,14056.5,-89,8465.74,14115.8,500
BWNRD2,Bullworth Academy,8278.03,14094.2,-89,8326.98,14140.1,500
BWPREP,Harrington House,8332.06,14090.6,-89,8371.73,14143.8,500
BWPRP1,Old Bullworth Vale,8649.22,14678.7,-89,8734.51,14781,500
BWPRP2,Old Bullworth Vale,8734.51,14732.9,-89,8816.73,14808,500
BWPRP3,Old Bullworth Vale,8734.51,14678.7,-89,8851.73,14732.9,500
BWPRP4,Old Bullworth Vale,8734.51,14578.7,-89,8851.72,14678.7,500
BWPRP5,Old Bullworth Vale,8588.14,14641.3,-89,8649.22,14742.1,500
BWRICH,Old Bullworth Vale,8464.24,14290.9,-89,8963.91,14915.5,500
BWTWN,Bullworth Town,8630.36,14034.4,-89,8911.03,14315.9,500
BYTUN,Bayside Tunnel,-2290.19,2548.29,-89.084,-1950.19,2723.29,110.916
CALI1,Caligula's Palace,2087.39,1543.23,-89.0839,2437.39,1703.23,110.916
CALI2,Caligula's Palace,2137.4,1703.23,-89.0839,2437.39,1783.23,110.916
CALT,Calton Heights,-2274.17,744.17,-6.10352E-05,-1982.32,1358.9,200
CAM,The Camel's Toe,2087.39,1203.23,-89.0839,2640.4,1383.23,110.916
CARCER,Carcer City,3911.54,4640.75,-89,6137.65,6000,500
CARSO,Fort Carson,-376.233,826.326,-3.05176E-05,123.717,1220.44,200
CARYRD,Sunshine Auto's,6439.46,-8410.66,0,6540.3,-8307.18,100
CCCNTR,Central,4772.33,4956.29,-89,5190.23,5267.37,500
CCELB1,East Los Albos,5660.8,4763.34,-89,6033.23,5368.04,500
CCELB2,East Los Albos,6033.23,5269.62,-89,6137.65,5440.81,500
CCELB3,East Los Albos,5932.54,5368.04,-89,6033.23,5440.81,500
CCSTKY,Stockyard,5017.5,5541.06,-89,5552,5702.78,500
CCWAPH,Wapona Hills,4374.37,5738.15,-89,4716.95,6089.94,500
CHC1A,Las Colinas,1994.33,-1100.82,-89.0839,2056.86,-920.815,110.916
CHC1B,Las Colinas,2056.86,-1126.32,-89.0839,2126.86,-920.815,110.916
CHC2A,Las Colinas,2126.86,-1126.32,-89.0839,2185.33,-934.489,110.916
CHC2B,Las Colinas,2185.33,-1154.59,-89.0839,2281.45,-934.489,110.916
CHC3,Las Colinas,2281.45,-1135.04,-89.0839,2632.74,-945.035,110.916
CHC4A,Las Colinas,2747.74,-1120.04,-89.0839,2959.35,-945.035,110.916
CHC4B,Las Colinas,2632.74,-1135.04,-89.0839,2747.74,-945.035,110.916
CHINA,Chinatown,-2274.17,578.396,-7.62939E-05,-2078.67,744.17,200
CHINAT,Chinatown,8995.42,7341.71,-21.203,9315.42,7786.31,129.593
CIS1,Prawn Island,7492.19,-6682.81,0,7625,-6464.06,500
CIS2,Prawn Island,7328.13,-6682.81,0,7492.19,-6464.06,500
CIS3,Prawn Island,7328.13,-6464.06,0,7625,-6245.31,500
CISLAND,InterGlobal Films,7363.6,-6647.96,0,7515.7,-6454.25,100
CITYS,City Hall,-2867.85,277.411,-9.15527E-05,-2593.44,458.411,200
CIVI,Santa Flora,-2741.07,458.411,-7.62939E-05,-2533.04,793.411,200
COL1,Liberty Campus,8367.27,7838.38,0,8489.27,8188.38,500
COL10,Aspatria,8021.87,8239.06,0,8201.56,8410.94,500
COL11,Cedar Grove,7381.25,8430.63,0,7560.94,8594.69,500
COL12,Cedar Grove,7560.94,8430.63,0,7787.5,8594.69,500
COL13,Cedar Grove,7787.5,8430.63,0,7975,8743.13,500
COL14,Cedar Grove,7381.25,8594.69,0,7787.5,8743.13,500
COL2,Fort Staunton,8490.62,7840.63,0,8865.62,7996.88,500
COL3,Fort Staunton,8490.62,7996.88,0,8864.32,8188.38,500
COL4,NULL,8537.5,8192.19,0,8865.62,8410.94,500
COL5,NULL,8367.24,8188.89,0,8537.5,8410.94,500
COL6,Aspatria,8021.87,7840.63,0,8201.56,7981.25,500
COL7,Aspatria,8201.56,7840.63,0,8365.62,8106.25,500
COL8,Aspatria,8021.87,7981.25,0,8201.56,8239.06,500
COL9,Aspatria,8201.56,8106.25,0,8365.62,8410.94,500
COM1A,Commerce,1323.9,-1722.26,-89.0839,1440.9,-1577.59,110.916
COM1B,Commerce,1370.85,-1577.59,-89.084,1463.9,-1384.95,110.916
COM2,Commerce,1463.9,-1577.59,-89.0839,1667.96,-1430.87,110.916
COM3,Commerce,1667.96,-1577.59,-89.0839,1812.62,-1430.87,110.916
COM4,Commerce,1583.5,-1722.26,-89.0839,1758.9,-1577.59,110.916
COM_EAS,Newport,8450.11,7190.81,-0.000144958,8865.11,7837.81,198.864
COM_ZON,Staunton Island,7984.52,6530.03,-114.769,8865.52,8617.26,485.231
CONF1A,Conference Center,1073.22,-1842.27,-89.0839,1323.9,-1804.21,110.916
CONF1B,Conference Center,1046.15,-1804.21,-89.0839,1323.9,-1722.26,110.916
CONST1,Starfish Casino,2437.39,1858.1,-39.0839,2495.09,1970.85,60.9161
CONSTRU,Fort Staunton,8489.88,7838.38,0.0000763,8864.32,8188.38,163.819
COPS_1,NULL,9385.8,7554.98,6.9661,9432.36,7618.98,56.9661
CRANB,Cranberry Station,-2007.83,56.3063,0,-1922,224.782,100
CREE,Creek,2749.9,1937.25,-89.0839,2921.62,2669.79,110.916
CREEK,Shady Creeks,-1820.64,-2643.68,-8.01086E-05,-1226.78,-1771.66,200
CREEK1,Shady Creeks,-2030.12,-2174.89,-6.10352E-05,-1820.64,-1771.66,200
CUNTC1,Avispa Country Club,-2470.04,-355.493,0,-2270.04,-318.493,46.1
CUNTC2,Avispa Country Club,-2831.89,-430.276,-6.10352E-05,-2646.4,-222.589,200
CUNTC3,Avispa Country Club,-2550.04,-355.493,0,-2470.04,-318.493,39.7
DAM,The Sherman Dam,-968.772,1929.41,-3.05176E-05,-481.126,2155.26,200
DIA1,Hepburn Heights,9360.21,8007.69,0,9445.77,8074.93,161
DIA10,Hepburn Heights,9097.53,7997.86,0,9203.27,8115.37,161
DIA11,Hepburn Heights,9046.78,7997.86,0,9097.53,8119.23,161
DIA12,Hepburn Heights,9046.78,8119.23,0,9097.53,8172.55,161
DIA2,Hepburn Heights,9360.21,8074.93,0,9455.78,8136.18,161
DIA3,Hepburn Heights,9360.21,8136.18,0,9465.36,8228.7,161
DIA4,Hepburn Heights,9204.01,8228.7,2.52127,9378.67,8284.96,161
DIA5,Hepburn Heights,9243.78,8115.37,0,9360.21,8228.7,161
DIA6,Hepburn Heights,9097.53,8115.37,1.57141,9243.78,8172.55,161
DIA7,Hepburn Heights,9126.8,8172.55,0,9243.78,8228.7,161
DIA8,Hepburn Heights,9290,8007.69,0,9360.21,8115.37,161
DIA9,Hepburn Heights,9203.27,7997.86,0,9290,8115.37,161
DILLI,Dillimore,580.794,-674.885,-9.53674E-06,861.085,-404.79,200
DNSFLD,Dunsfold,-9359.45,-1025.13,-89,-6132.36,1943.17,500
DOCKS,Viceport,6291.79,-9279.61,0,7246.79,-8398.74,300
DOH1,Doherty,-2270.04,-324.114,-0.00012207,-1794.92,-222.589,200
DOH2,Doherty,-2173.04,-222.589,-0.000106812,-1794.92,265.243,200
DRAG,The Four Dragons Casino,1817.39,863.232,-89.084,2027.39,1083.23,110.916
DTA1,Downtown Vice City,6296.9,-7096.88,0,6593.75,-6281.25,500
DTA2,Downtown Vice City,6593.8,-7096.88,0,6710.94,-6710.94,500
DTO1,Downtown Vice City,6710.94,-7120.31,0,6968.75,-6893.75,500
DTO10,Downtown Vice City,6593.75,-6276.56,0,6976.56,-6159.37,500
DTO11,Downtown Vice City,6593.75,-6159.37,0,6695.31,-6003.12,500
DTO12,Downtown Vice City,6695.31,-6159.37,0,6914.06,-6003.12,500
DTO2,Downtown Vice City,6765.63,-6893.75,0,7031.25,-6760.94,500
DTO3,Downtown Vice City,6851.56,-6760.94,0,7085.94,-6604.69,500
DTO4,Downtown Vice City,6593.75,-6760.94,0,6851.56,-6675,500
DTO5,Downtown Vice City,6851.56,-6604.69,0,7218.75,-6378.12,500
DTO6,Downtown Vice City,6593.75,-6675,0,6851.56,-6378.12,500
DTO7,Downtown Vice City,6976.56,-6378.12,0,7257.81,-6104.69,500
DTO8,Downtown Vice City,6593.75,-6378.12,0,6976.56,-6276.56,500
DTO9,Downtown Vice City,6445.31,-6276.56,0,6593.75,-6003.12,500
EASB1,Easter Basin,-1794.92,249.904,-9.15527E-05,-1242.98,578.396,200
EASB2,Easter Basin,-1794.92,-50.0963,-0.000106812,-1499.89,249.904,200
EASTBAY,Portland Beach,9639.37,7636.53,-29.883,10047.6,8449.63,120.117
EBAY,Easter Bay Chemicals,-1132.82,-768.027,0,-956.476,-578.118,200
EBAY2,Easter Bay Chemicals,-1132.82,-787.391,0,-956.476,-768.027,200
EBE1,East Beach,2747.74,-1498.62,-89.0839,2959.35,-1120.04,110.916
EBE2A,East Beach,2632.83,-1668.13,-89.0839,2747.74,-1393.42,110.916
EBE2B,East Beach,2747.74,-1668.13,-89.0839,2959.35,-1498.62,110.916
EBE3C,East Beach,2632.83,-1852.87,-89.0839,2959.35,-1668.13,110.916
ELCA,El Castillo del Diablo,-464.515,2217.68,0,-208.57,2580.36,200
ELCA1,El Castillo del Diablo,-208.57,2123.01,-7.62939E-06,114.033,2337.18,200
ELCA2,El Castillo del Diablo,-208.57,2337.18,0,8.42999,2487.18,200
ELCO1,El Corona,1692.62,-2179.25,-89.0839,1812.62,-1842.27,110.916
ELCO2,El Corona,1812.62,-2179.25,-89.0839,1970.62,-1852.87,110.916
ELQUE,El Quebrados,-1645.23,2498.52,0,-1372.14,2777.85,200
ELS1A,East Los Santos,2281.45,-1372.04,-89.084,2381.68,-1135.04,110.916
ELS1B,East Los Santos,2381.68,-1454.35,-89.0839,2462.13,-1135.04,110.916
ELS2,East Los Santos,2462.13,-1454.35,-89.0839,2581.73,-1135.04,110.916
ELS3A,East Los Santos,2222.56,-1628.53,-89.0839,2421.03,-1494.03,110.916
ELS3B,East Los Santos,2266.26,-1494.03,-89.0839,2381.68,-1372.04,110.916
ELS3C,East Los Santos,2381.68,-1494.03,-89.0839,2421.03,-1454.35,110.916
ELS4,East Los Santos,2421.03,-1628.53,-89.0839,2632.83,-1454.35,110.916
ESPE1,Esplanade East,-1620.3,1176.52,-4.57764E-05,-1580.01,1274.26,200
ESPE2,Esplanade East,-1580.01,1025.98,-6.10352E-05,-1499.89,1274.26,200
ESPE3,Esplanade East,-1499.89,578.396,-79.6152,-1339.89,1274.26,20.3848
ESPN1,Esplanade North,-2533.04,1358.9,-4.57764E-05,-1996.66,1501.21,200
ESPN2,Esplanade North,-1996.66,1358.9,-4.57764E-05,-1524.24,1592.51,200
ESPN3,Esplanade North,-1982.32,1274.26,-4.57764E-05,-1524.24,1358.9,200
ETUNN,Easter Tunnel,-1709.71,-833.034,-1.52588E-05,-1446.01,-730.118,200
FALLO,Fallow Bridge,434.341,366.572,0,603.035,555.68,200
FARM,The Farm,-1209.67,-1317.1,114.981,-908.161,-787.391,251.981
FERN,Fern Ridge,508.189,-139.259,0,1306.66,119.526,200
FILLIN1,NULL,9613.77,7636.66,-4.43849,9639.17,7737.46,70.4322
FINA,Financial,-1871.72,744.17,-6.10352E-05,-1701.3,1176.42,300
FISH,Fisher's Lagoon,1916.99,-233.323,-100,2131.72,13.8002,200
FISHFAC,NULL,9194.21,7070.19,-9.72576,9266.14,7173.99,40.2742
FLINTC,Flint County,-1213.91,-2892.97,-242.99,44.6147,-768.027,900
FLINTI,Flint Intersection,-187.7,-1596.76,-89.0839,17.0632,-1276.6,110.916
FLINTR,Flint Range,-594.191,-1648.55,0,-187.7,-1276.6,200
FLINW,Flint Water,-314.426,-753.874,-89.0839,-106.339,-463.073,110.916
FOR1,Bedford Point,8021.87,6575,0,8451.56,6700,500
FOR10,Belleville Park,8295.31,7481.25,0,8451.56,7684.38,500
FOR11,Belleville Park,8139.06,7481.25,0,8295.31,7684.38,500
FOR12,Belleville Park,8139.06,7684.38,0,8451.56,7840.63,500
FOR13,Newport,8451.56,7192.19,0,8685.94,7340.63,500
FOR14,Newport,8451.56,7340.63,0,8865.62,7489.06,500
FOR15,Newport,8451.56,7489.06,0,8576.56,7840.63,500
FOR16,Newport,8576.56,7489.06,0,8865.62,7660.94,500
FOR17,Newport,8576.56,7660.94,0,8865.62,7840.63,500
FOR18,Saint Mark's,9537.18,7728.42,0,9666.99,7858.39,161
FOR2,Bedford Point,8225,6700,0,8451.56,6840.63,500
FOR3,Bedford Point,8021.87,6700,0,8115.62,7059.38,500
FOR4,Bedford Point,8115.62,6700,0,8225,7059.38,500
FOR5,Bedford Point,8225,6840.63,0,8451.56,7059.38,500
FOR6,Bedford Point,8209.37,7059.38,0,8451.56,7246.88,500
FOR7,Bedford Point,8021.87,7059.38,0,8209.37,7246.88,500
FOR8,Belleville Park,8131.25,7246.88,0,8451.56,7348.44,500
FOR9,Belleville Park,8131.25,7348.44,0,8451.56,7481.25,500
FRED,Frederick Bridge,2759.25,296.501,0,2774.25,594.757,200
GAN1,Ganton,2222.56,-1722.33,-89.0839,2632.83,-1628.53,110.916
GAN2,Ganton,2222.56,-1852.87,-89.0839,2632.83,-1722.33,110.916
GANTB,Gant Bridge,-2741.45,1659.68,-6.10352E-05,-2616.4,2175.15,200
GANTB1,Gant Bridge,-2741.07,1490.47,-6.10352E-05,-2616.4,1659.68,200
GARC,Garcia,-2411.22,-222.589,-0.000114441,-2173.04,265.243,200
GARV,Garver Bridge,-1339.89,828.129,-89.0839,-1213.91,1057.04,110.916
GARV1,Garver Bridge,-1213.91,950.022,-89.0839,-1087.93,1178.93,110.916
GARV2,Garver Bridge,-1499.89,696.442,-179.615,-1339.89,925.353,20.3848
GGC1,Greenglass College,964.391,1044.69,-89.0839,1197.39,1203.22,110.916
GGC2,Greenglass College,964.391,930.89,-89.0839,1166.53,1044.69,110.916
GLN1,Glen Park,1812.62,-1350.72,-89.0839,2056.86,-1100.82,110.916
GLN1B,Glen Park,1812.62,-1100.82,-89.0839,1994.33,-973.38,110.916
GLN2A,Glen Park,1812.62,-1449.67,-89.0839,1996.91,-1350.72,110.916
GOLFC,Leaf Links,7286.27,-7741.43,0,7663.66,-6702.4,300
HANKY,Hankypanky Point,2576.92,62.1579,0,2759.25,385.503,200
HARWOOD,Harwood,8995.98,8471.82,-48.5832,9638.98,8572.68,101.417
HASH,Hashbury,-2593.44,-222.589,-0.000106812,-2411.22,54.722,200
HAUL,Fallen Tree,-792.254,-698.555,-5.34058E-05,-452.404,-380.043,200
HBARNS,Hampton Barns,603.035,264.312,0,761.994,366.572,200
HGP,Harry Gold Parkway,1777.39,863.232,-89.0839,1817.39,2342.83,110.916
HIGH,The High Roller,1817.39,1283.23,-89.0839,2027.39,1469.23,110.916
HILLP,Missionary Hill,-2994.49,-811.276,0,-2178.69,-430.276,200
HOOD1,Wichita Gardens,7732.81,8211.88,0,7881.25,8430.63,500
HOOD2,Wichita Gardens,7584.37,8211.88,0,7732.81,8430.63,500
HOOD3,Wichita Gardens,7435.94,8071.25,0,7584.37,8430.63,500
HOOD4,Wichita Gardens,7584.37,8071.25,0,7881.25,8211.88,500
HOOD5,Pike Creek,7303.12,8071.25,0,7435.94,8290,500
HOOD6,Pike Creek,7115.62,8071.25,0,7303.12,8290,500
HOOD7,Pike Creek,6842.19,8071.25,0,7115.62,8290,500
HOOD8,Pike Creek,6842.19,8290,0,7115.62,8430.63,500
HOOD9,Pike Creek,7115.62,8290,0,7435.94,8430.63,500
HOSPI_1,Rockford,9386.09,7390.02,6.287,9432.09,7728.83,56.287
HOSPI_2,Rockford,8367.24,8188.89,-17.071,8865.24,8518.89,83.754
HYM,Hyman Memorial Stadium,5921.88,-6331.25,0,6445.31,-5948.44,500
IND_ZON,Portland,8867.15,6920.28,-117.535,10152.7,8684.12,482.465
ISLE,The Emerald Isle,2011.94,2202.76,-89.0839,2237.4,2508.23,110.916
IWD1,Idlewood,1812.62,-1602.31,-89.0839,2124.66,-1449.67,110.916
IWD2,Idlewood,2124.66,-1742.31,-89.0839,2222.56,-1494.03,110.916
IWD3A,Idlewood,1812.62,-1852.87,-89.0839,1971.66,-1742.31,110.916
IWD3B,Idlewood,1812.62,-1742.31,-89.0839,1951.66,-1602.31,110.916
IWD4,Idlewood,1951.66,-1742.31,-89.0839,2124.66,-1602.31,110.916
IWD5,Idlewood,1971.66,-1852.87,-89.0839,2222.56,-1742.31,110.916
JEF1A,Jefferson,2185.33,-1210.74,-89.0839,2281.45,-1154.59,110.916
JEF1B,Jefferson,2056.86,-1210.74,-89.0839,2185.33,-1126.32,110.916
JEF2,Jefferson,2056.86,-1372.04,-89.0839,2281.45,-1210.74,110.916
JEF3A,Jefferson,1996.91,-1449.67,-89.0839,2056.86,-1350.72,110.916
JEF3B,Jefferson,2056.86,-1449.67,-89.0839,2266.21,-1372.04,110.916
JEF3C,Jefferson,2124.66,-1494.03,-89.0839,2266.21,-1449.67,110.916
JTE1,Julius Thruway East,2685.16,1055.96,-89.0839,2749.9,2626.55,110.916
JTE2,Julius Thruway East,2623.18,943.235,-89.0839,2749.9,1055.96,110.916
JTE3,Julius Thruway East,2625.16,2202.76,-89.0839,2685.16,2442.55,110.916
JTE4,Julius Thruway East,2536.43,2442.55,-89.0839,2685.16,2542.55,110.916
JTN1,Julius Thruway North,2498.21,2542.55,-89.0839,2685.16,2626.55,110.916
JTN2,Julius Thruway North,2237.4,2542.55,-89.0839,2498.21,2663.17,110.916
JTN3,Julius Thruway North,2121.4,2508.23,-89.0839,2237.4,2663.17,110.916
JTN4,Julius Thruway North,1938.8,2508.23,-89.0839,2121.4,2624.23,110.916
JTN5,Julius Thruway North,1534.56,2433.23,-89.0839,1848.4,2583.23,110.916
JTN6,Julius Thruway North,1848.4,2478.49,-89.0839,1938.8,2553.49,110.916
JTN7,Julius Thruway North,1377.39,2433.23,-89.0839,1534.56,2507.23,110.916
JTN8,Julius Thruway North,1704.59,2342.83,-89.0839,1848.4,2433.23,110.916
JTS1,Julius Thruway South,1457.39,823.228,-89.0839,2377.39,863.229,110.916
JTS2,Julius Thruway South,2377.39,788.894,-89.0839,2537.39,897.901,110.916
JTW1,Julius Thruway West,1197.39,1163.39,-89.0839,1236.63,2243.23,110.916
JTW2,Julius Thruway West,1236.63,2142.86,-89.084,1297.47,2243.23,110.916
JUNIHI,Juniper Hill,-2533.04,578.396,-7.62939E-05,-2274.17,968.369,200
JUNIHO,Juniper Hollow,-2533.04,968.369,-6.10352E-05,-2274.17,1358.9,200
JUNKY,Vice City Junkyard,6103.24,-7542.91,0,6291.79,-7269.61,300
KACC,K.A.C.C. Military Fuels,2498.21,2626.55,-89.0839,2749.9,2861.55,110.916
KAUFM1,Kaufman Cabs,6484.64,-7321.09,0,6505.96,-7278.25,100
KAUFM2,Kaufman Cabs,6506.62,-7323.52,0,6520.15,-7280.68,100
KINC,Kincaid Bridge,-1339.89,599.218,-89.0839,-1213.91,828.129,110.916
KINC1,Kincaid Bridge,-1213.91,721.111,-89.0839,-1087.93,950.022,110.916
KINC2,Kincaid Bridge,-1087.93,855.37,-89.0839,-961.95,986.281,110.916
LA,Los Santos,44.6147,-2892.97,-242.99,2997.06,-768.027,900
LAIR1,Los Santos International,1249.62,-2394.33,-89.0839,1852,-2179.25,110.916
LAIR2A,Los Santos International,1852,-2394.33,-89.0839,2089,-2179.25,110.916
LAIR2B,Los Santos International,1382.73,-2730.88,-89.0839,2201.82,-2394.33,110.916
LBAG1,Los Santos International,1974.63,-2394.33,-39.0839,2089,-2256.59,60.9161
LBAG2,Los Santos International,1400.97,-2669.26,-39.0839,2189.82,-2597.26,60.9161
LBAG3,Los Santos International,2051.63,-2597.26,-39.0839,2152.45,-2394.33,60.9161
LCAIR1,Francis Intl. Airport,6607.81,6895.31,0,7482.81,7864.06,500
LCAIR2,Francis Intl. Airport,7482.81,6895.31,0,7787.5,7434.38,500
LCDAM,Cochrane Dam,6842.19,8430.63,0,7381.25,8954.06,500
LDM,Last Dime Motel,1823.08,596.349,-89.0839,1997.22,823.228,110.916
LDOC1A,Ocean Docks,2089,-2394.33,-89.0839,2201.82,-2235.84,110.916
LDOC1B,Ocean Docks,2201.82,-2418.33,-89.0837,2324,-2095,110.916
LDOC2,Ocean Docks,2324,-2145.1,-89.084,2703.58,-2059.23,110.916
LDOC3A,Ocean Docks,2324,-2302.33,-89.0839,2703.58,-2145.1,110.916
LDOC3B,Ocean Docks,2201.82,-2730.88,-89.0839,2324,-2418.33,110.916
LDOC3C,Ocean Docks,2703.58,-2302.33,-89.0839,2959.35,-2126.9,110.916
LDOC4,Ocean Docks,2373.77,-2697.09,-89.0837,2809.22,-2330.46,110.916
LDS,Linden Side,2749.9,943.235,-89.0839,2923.39,1198.99,110.916
LDT1A,Downtown Los Santos,1370.85,-1170.87,-89.0839,1463.9,-1130.85,110.916
LDT1B,Downtown Los Santos,1378.33,-1130.85,-89.0838,1463.9,-1026.33,110.916
LDT1C,Downtown Los Santos,1391.05,-1026.33,-89.0839,1463.9,-926.999,110.916
LDT3,Downtown Los Santos,1370.85,-1384.95,-89.0839,1463.9,-1170.87,110.916
LDT4,Downtown Los Santos,1463.9,-1290.87,-89.084,1724.76,-1150.87,110.916
LDT5,Downtown Los Santos,1463.9,-1430.87,-89.084,1724.76,-1290.87,110.916
LDT6,Downtown Los Santos,1724.76,-1250.9,-89.0839,1812.62,-1150.87,110.916
LDT7,Downtown Los Santos,1724.76,-1430.87,-89.0839,1812.62,-1250.9,110.916
LDT8,Downtown Los Santos,1507.51,-1385.21,110.916,1582.55,-1325.31,335.916
LEAFY,Leafy Hollow,-1166.97,-1856.03,0,-815.624,-1602.07,200
LFL1A,Los Flores,2581.73,-1454.35,-89.0839,2632.83,-1393.42,110.916
LFL1B,Los Flores,2581.73,-1393.42,-89.0839,2747.74,-1135.04,110.916
LIBERTY,Liberty City,6137.65,6000,-500,10000,10000,2000
